,group id,BrainID,roi id,Count,Total Area,Average Size,%Area,Perim.,ROI um^2,ROI mm^2,#Cell Density/mm^2,Genotype,Sex,Treatment
160,I,7,MH,2.333333333,130.8376667,56.073,0.297666667,26.074,43642.293,0.043642293,53.05594714,AA,F,Chronic
161,I,7,PAG,99,3509.208,35.162,0.284333333,20.13133333,1226220.703,1.226220703,80.22929817,AA,F,Chronic
162,I,7,PALv,18,605.9183333,32.71966667,0.123333333,20.63133333,576575.72,0.57657572,35.82009449,AA,F,Chronic
163,I,7,PL,45,1685.9625,37.884,0.8205,22.2015,208688.266,0.208688266,216.0871527,AA,F,Chronic
164,I,7,PVT,55.66666667,2477.290333,44.08766667,1.03,22.728,240755.8137,0.240755814,234.6191588,AA,F,Chronic
165,I,7,SNc,12,383.5463333,31.46966667,0.124333333,18.87033333,312999.068,0.312999068,39.77231679,AA,F,Chronic
166,I,7,SNr,11,388.3206667,31.971,0.081666667,19.04,454688.3127,0.454688313,23.30437413,AA,F,Chronic
167,I,7,VTA,20,875.3126667,40.48266667,0.434,22.33266667,208820.9493,0.208820949,99.40673083,AA,F,Chronic
168,I,8,ACAd,24.25,940.8995,39.154,0.726,21.9675,129725.5958,0.129725596,187.1684195,AA,F,Chronic
169,I,8,ACAv,29.33333333,1120.048333,37.098,0.668666667,21.101,170399.4977,0.170399498,175.1724451,AA,F,Chronic
170,I,8,ACB,22.66666667,869.731,36.99833333,0.087333333,20.99366667,989661.3413,0.989661341,22.77433885,AA,F,Chronic
171,I,8,AId,18.66666667,782.365,41.78866667,0.489,22.364,160957.1273,0.160957127,118.6344811,AA,F,Chronic
172,I,8,AIv,13.33333333,561.4966667,41.86033333,0.135333333,21.80866667,403314.5757,0.403314576,31.93406656,AA,F,Chronic
173,I,8,BLA,2,56.073,24.442,0.0435,16.9655,135399.804,0.135399804,15.27877868,AA,F,Chronic
174,I,8,BST,11,334.106,31.329,0.105,19.03533333,338278.3153,0.338278315,33.49977652,AA,F,Chronic
175,I,8,CEA,6.333333333,219.98,31.631,0.067666667,19.399,315894.0567,0.315894057,19.95316215,AA,F,Chronic
176,I,8,CLA,7.666666667,340.628,44.71733333,0.723333333,23.69966667,54897.092,0.054897092,155.4873626,AA,F,Chronic
177,I,8,CP,77.75,3060.834,36.37475,0.1275,20.6075,1889199.968,1.889199968,32.78581577,AA,F,Chronic
178,I,8,DG,8.666666667,442.8353333,49.534,0.467,27.36733333,107942.571,0.107942571,90.67615773,AA,F,Chronic
179,I,8,GPe,1,17.253,17.253,0.005,11.748,358631.988,0.358631988,2.788373691,AA,F,Chronic
180,I,8,GPi,2,77.64,38.82,0.052,22.0805,164519.1085,0.164519109,12.95526075,AA,F,Chronic
181,I,8,ILA,12.5,519.777,43.6825,0.434,23.6495,121336.277,0.121336277,107.8758567,AA,F,Chronic
182,I,8,LH,3,140.1835,46.7275,0.434,23.7695,35686.352,0.035686352,88.80089237,AA,F,Chronic
